KSID,Translated Recommend Reason
K000967880,"I have reached out to Keysight for technical assistance several times in the past 3 years for information that applies to all instruments of certain model numbers. Each time I get asked what my ""Keysight Care"" account number is. Whatever paradigm shifts you have decided to embrace you have surely managed to ruin the reputation of a once great company."
K000957239,Pricing is very expensive
K000967323,"Everytime I received the automated quotation from the Keysight platform, I saw the product was much expenser than the competitor model used in my company. Unless we have previous purchase order, I can&#39;t tell if the quoted price is real price my company will pay ."
K000970146,"Rigid process,"
K000968989,Evaluation License are critical to get even though its for 15 days. How do we know the strength of the tool until we practice hands on.
K000968044,"While the ADS software is capable, the licensing seems overly complicated."
K000963330,"The equipment is broken when it arrives, and the maintenance road is long and difficult"
K000962702,Products and support are too expensive
K000957408,"Poor technical support, exorbitant maintenance fees"
K000967825,Response time and information completeness was a little bit of a problem.
K000959503,"Unfortunately, I've been waiting for an answer for days since my last request."
K000961204,Mit meinem letzten Problem konnte mir nicht geholfen werden
K000962950,"I think keysight pricing is not really competitive. While hardware prices are similar to competitors, the software options for instruments are almost twice."
K000962360,"Keysight service for VNA is not up to the mark. Proper care has not been taken care during transit of equipment from our site to the service center. It took more than three months for the repair. We haven't received our VNA yet. There has been damages to the cables during transit to service center and due to multiple reasons, servicing is getting delayed."
K000959111,"Function, operability, size"
K000965683,No customer service whatsoever.
K000962017,"Quality is one of the strong points, but it does not correspond to the price of equipment and maintenance."
K000956312,"Unfortunately support is a bit slow. I need to write several e-mails to get any reply or get some informations, this is mostly in case of orders. Confirmations are different than the offered leat time, and we have to write reminders until we get help or answers. It is not professional."
K000965667,"The business attitude is very poor, but the customer service attitude is very good"
K000959937,"Equipment is great, but it requires far too much hassling to get good support from applications engineers considering the price paid for the equipment. If you were rigol I wouldn't have these expectations, but you are not."
K000968035,Technical support is difficult to get.  Cannot find info in the on-line resource(s)
K000965807,"Your pricing is ""non negotiable"". Keysight ""lost"" the LTE battle to Rhode, and now that you ""won"" the 5G battle, you are taking full advantage of your lead (which will dwindle, and eventually be over come by your competitors). Licenses have become a huge revenue boost with rediculous pricing, and new policies that ensure we have to keep buying them. We customers will not forget, and will jump to other vendors ASAP. R&S didn't take advantage of their lead in LTE. There was no massive mark up to their services. No huge price increases in licenses."
K000961081,Maintenance and repair costs are too expensive
K000967835,The quality of service seems to have deminished
K000967860,SENT 3 smu UNIT OUT OF PLANT AS FIELD ITEMS AND ALL 3 ARRIVED FAILING INTERNAL POWER UP TEST HAD TO SEND TO CAL DEPT FOR SERVICE.
K000961151,poor interaction lack of support badly organsied
K000967654,Faced issues in service part as well as in products
K000964280,The low-end equipment just isn't very user-friendly.  The controls are both awkward and non-intuitive.
K000962976,Repair return cycle is too long
K000969671,After sales service is terrible
K000965965,Price are generally very high for Keysight.  Very rigid and non-negotiable kind of attitude of the company. Not sustainable to place large repeat orders.
K000961593,The quality and stability of Keysight instruments are far from the era of Agilent. bad experience
K000965791,Time between responses and receiving responses could be significantly improved.  There is a support/case portal and customer responses or comments in technical cases or support cases are rarely answered on the portal. Why have the support portal if it is unsupported? Separate emails must be sent in order to receive responses.
K000966750,"While Keysight employees are always very willing to help you, in general the prices of HW and SW is extremely high and their FAE technical support (mostly in the area of ADS Pathwave Technical Support) mostly transfers issues to another group and then solutions are never forthcoming.  The value equation for Keysight SW in particular is not very high."
K000958137,"Poor quality control on software products.  Hit or miss support - some has been great, some not so."
K000967779,"mostly no service for older devices, for instance B2900."
K000962429,Poor service; poor sales team cooperation; high prices
K000956718,"The website is hard to use, when trying to get equipment booked for pick up, the process is cumbersome and not very user friendly."
K000957395,Price increases Discount rates keep decreasing but our flow of equipment being calibrated with Keysight keeps increasing.
K000956380,"You allow purchasing of components/parts but neglect to inform the customer they need specific software in order to complete the repair and then once getting the software, it mandates that you have to use Keysight equipment only."
K000958694,"The company has a good brand and excellent product performance. The price is a bit expensive for mass production testing of highly competitive semiconductors, and the price/performance ratio is not very attractive."
K000962291,"Costs are excessive, while at the same time turn around is remarkably slow. Further, the system of pre-paid agreements is terribly inconsistent, with Keysight sometimes invoicing immediately, while other times not invoicing until a service is provided under the agreement. It's just a mess to deal with, and I try not to whenever I can.  At least your people are nice, even if they are shackled by terrible systems."
K000965000,"I had to keep chasing up the contact to get a finalised quote, and one of the quotes still has not been delivered."
K000968827,You've turned the world's most legendary brand of reliable test instruments into disposable garbage.
K000957371,Having to pay for Keysight Care seems utterly ridiculous. I would never suggest anyone to buy anything from keysight till you get rid of the obvious money grab that keysight care is.
K000964385,"Normally, I would rate as 10. The last 2 times I have used the calibration services, the timing after units were received was around 2 months with little to no communication. The most current time, we requested an update on the status of 3 pcs of equipment in calibration and no one replied or contacted in any way on the current status. This was after having the equipment for over a month.  Normally, once received, it takes about two weeks. I understand companies having employee resource problems, but communications need to be kept about our equipment."
K000968552,"Duplicitous behavior.  Management from Keysight comes into meetings at Verizon and assures us they take Wi-Fi testing seriously, and will be supporting the VeriWave product line.  However, product features and performance, and recent statements by Keysight sales organization prove that this prior claim was not the truth."
K000962344,Procurement is too laborious and the cycle is quite long.
K000966585,Very slow calibrating some instruments when you loose and instrument slow to replete it
K000961677,Because there are times when the response is fast and times when it is slow.
K000969722,"Recent calibration deadline extensions, paid support, and increased calibration fees"
K000956598,"Great equipment, but very bad and unfriendly support (Japanese office)"
